2026-05-16 17:00:58 | INFO     | Папка для сохранения: data\raw\openweather_api\2026\05\16
2026-05-16 17:00:59 | INFO     | Moscow: Данные получены (200)
2026-05-16 17:00:59 | INFO     | Moscow: Сохранено в data\raw\openweather_api\2026\05\16\moscow_20260516_1700.json
2026-05-16 17:00:59 | INFO     | Пауза 1.5 сек перед следующим запросом.

2026-05-16 17:01:01 | INFO     | Saint Petersburg: Данные получены (200)
2026-05-16 17:01:01 | INFO     | Saint Petersburg: Сохранено в data\raw\openweather_api\2026\05\16\saint_petersburg_20260516_1701.json
2026-05-16 17:01:01 | INFO     | Пауза 1.5 сек перед следующим запросом.

2026-05-16 17:01:04 | INFO     | Sochi: Данные получены (200)
2026-05-16 17:01:04 | INFO     | Sochi: Сохранено в data\raw\openweather_api\2026\05\16\sochi_20260516_1701.json
2026-05-16 17:01:04 | INFO     | Пауза 1.5 сек перед следующим запросом.

2026-05-16 17:01:06 | INFO     | Kazan: Данные получены (200)
2026-05-16 17:01:06 | INFO     | Kazan: Сохранено в data\raw\openweather_api\2026\05\16\kazan_20260516_1701.json
2026-05-16 17:01:06 | INFO     | Пауза 1.5 сек перед следующим запросом.

2026-05-16 17:01:08 | INFO     | Novosibirsk: Данные получены (200)
2026-05-16 17:01:08 | INFO     | Novosibirsk: Сохранено в data\raw\openweather_api\2026\05\16\novosibirsk_20260516_1701.json
2026-05-16 17:01:08 | INFO     | 
Готово!
2026-05-16 17:03:36 | INFO     | Папка для сохранения: data\raw\openweather_api\2026\05\16
2026-05-16 17:03:37 | INFO     | Moscow: Данные получены (200)
2026-05-16 17:03:37 | INFO     | Moscow: Сохранено в data\raw\openweather_api\2026\05\16\moscow_20260516_1703.json
2026-05-16 17:03:37 | INFO     | Пауза 1.5 сек перед следующим запросом.

2026-05-16 17:03:40 | INFO     | Saint Petersburg: Данные получены (200)
2026-05-16 17:03:40 | INFO     | Saint Petersburg: Сохранено в data\raw\openweather_api\2026\05\16\saint_petersburg_20260516_1703.json
2026-05-16 17:03:40 | INFO     | Пауза 1.5 сек перед следующим запросом.

2026-05-16 17:03:42 | INFO     | Sochi: Данные получены (200)
2026-05-16 17:03:42 | INFO     | Sochi: Сохранено в data\raw\openweather_api\2026\05\16\sochi_20260516_1703.json
2026-05-16 17:03:42 | INFO     | Пауза 1.5 сек перед следующим запросом.

2026-05-16 17:03:44 | INFO     | Kazan: Данные получены (200)
2026-05-16 17:03:44 | INFO     | Kazan: Сохранено в data\raw\openweather_api\2026\05\16\kazan_20260516_1703.json
2026-05-16 17:03:44 | INFO     | Пауза 1.5 сек перед следующим запросом.

2026-05-16 17:03:47 | INFO     | Novosibirsk: Данные получены (200)
2026-05-16 17:03:47 | INFO     | Novosibirsk: Сохранено в data\raw\openweather_api\2026\05\16\novosibirsk_20260516_1703.json
2026-05-16 17:03:47 | INFO     | 
Готово!
2026-05-16 17:26:17 | INFO     | Папка для сохранения: data\raw\openweather_api\2026\05\16
2026-05-16 17:26:18 | INFO     | Moscow: Данные получены (200)
2026-05-16 17:26:18 | INFO     | Moscow: Сохранено в data\raw\openweather_api\2026\05\16\moscow_20260516.json
2026-05-16 17:26:18 | INFO     | Пауза 1.5 сек перед следующим запросом.

2026-05-16 17:26:20 | INFO     | Saint Petersburg: Данные получены (200)
2026-05-16 17:26:20 | INFO     | Saint Petersburg: Сохранено в data\raw\openweather_api\2026\05\16\saint_petersburg_20260516.json
2026-05-16 17:26:20 | INFO     | Пауза 1.5 сек перед следующим запросом.

2026-05-16 17:26:23 | INFO     | Sochi: Данные получены (200)
2026-05-16 17:26:23 | INFO     | Sochi: Сохранено в data\raw\openweather_api\2026\05\16\sochi_20260516.json
2026-05-16 17:26:23 | INFO     | Пауза 1.5 сек перед следующим запросом.

2026-05-16 17:26:25 | INFO     | Kazan: Данные получены (200)
2026-05-16 17:26:25 | INFO     | Kazan: Сохранено в data\raw\openweather_api\2026\05\16\kazan_20260516.json
2026-05-16 17:26:25 | INFO     | Пауза 1.5 сек перед следующим запросом.

2026-05-16 17:26:28 | INFO     | Novosibirsk: Данные получены (200)
2026-05-16 17:26:28 | INFO     | Novosibirsk: Сохранено в data\raw\openweather_api\2026\05\16\novosibirsk_20260516.json
2026-05-16 17:26:28 | INFO     | 
Готово!
2026-05-16 19:28:57 | INFO     | Папка для сохранения: data\raw\openweather_api\2026\05\16
2026-05-16 19:28:58 | INFO     | Moscow: Данные получены (200)
2026-05-16 19:28:58 | INFO     | Moscow: Сохранено в data\raw\openweather_api\2026\05\16\moscow_20260516.json
2026-05-16 19:28:58 | INFO     | Пауза 1.5 сек перед следующим запросом.

2026-05-16 19:29:00 | INFO     | Saint Petersburg: Данные получены (200)
2026-05-16 19:29:00 | INFO     | Saint Petersburg: Сохранено в data\raw\openweather_api\2026\05\16\saint_petersburg_20260516.json
2026-05-16 19:29:00 | INFO     | Пауза 1.5 сек перед следующим запросом.

2026-05-16 19:29:02 | INFO     | Sochi: Данные получены (200)
2026-05-16 19:29:02 | INFO     | Sochi: Сохранено в data\raw\openweather_api\2026\05\16\sochi_20260516.json
2026-05-16 19:29:02 | INFO     | Пауза 1.5 сек перед следующим запросом.

2026-05-16 19:29:04 | INFO     | Kazan: Данные получены (200)
2026-05-16 19:29:04 | INFO     | Kazan: Сохранено в data\raw\openweather_api\2026\05\16\kazan_20260516.json
2026-05-16 19:29:04 | INFO     | Пауза 1.5 сек перед следующим запросом.

2026-05-16 19:29:07 | INFO     | Novosibirsk: Данные получены (200)
2026-05-16 19:29:07 | INFO     | Novosibirsk: Сохранено в data\raw\openweather_api\2026\05\16\novosibirsk_20260516.json
2026-05-16 19:29:07 | INFO     | 
Готово!
2026-05-16 19:39:49 | INFO     | Папка для сохранения: data\raw\openweather_api\2026\05\16
2026-05-16 19:39:50 | INFO     | Moscow: Данные получены (200)
2026-05-16 19:39:50 | INFO     | Moscow: Сохранено в data\raw\openweather_api\2026\05\16\moscow_20260516.json
2026-05-16 19:39:50 | INFO     | Пауза 1.5 сек перед следующим запросом.

2026-05-16 19:39:52 | INFO     | Saint Petersburg: Данные получены (200)
2026-05-16 19:39:52 | INFO     | Saint Petersburg: Сохранено в data\raw\openweather_api\2026\05\16\saint_petersburg_20260516.json
2026-05-16 19:39:52 | INFO     | Пауза 1.5 сек перед следующим запросом.

2026-05-16 19:39:54 | INFO     | Sochi: Данные получены (200)
2026-05-16 19:39:54 | INFO     | Sochi: Сохранено в data\raw\openweather_api\2026\05\16\sochi_20260516.json
2026-05-16 19:39:54 | INFO     | Пауза 1.5 сек перед следующим запросом.

2026-05-16 19:39:57 | INFO     | Kazan: Данные получены (200)
